Sr_No,Customer_Name,Overview,Geographical_Presence,Product_Offering,Industry_Vertical,Cloud_Platforms,License_Ecosystem,Optimization_Type,Pain_Points,Trigger_Event,Key_Stakeholders,Cloud_Optimization_Potential,ELO_Optimization_Potential,Total_Optimization_Potential,Decision_Maker,Phone,Fax,Email,Website,Annual_IT_Spend_M,Current_Cloud_Spend_M,Current_License_Spend_M,Potential_Cloud_Savings_M,Potential_License_Savings_M,Total_Potential_Savings_M,Number_of_Employees,IT_Team_Size,Number_of_VMs,Physical_Servers,Number_of_Databases,Number_of_Applications,Microsoft_Licenses,SAP_Licenses,Oracle_Licenses,Azure_VMs,Azure_Storage_TB,Azure_Monthly_Spend_K,AWS_EC2_Instances,AWS_S3_Storage_TB,AWS_Monthly_Spend_K,GCP_VMs,GCP_Storage_TB,GCP_Monthly_Spend_K,Implementation_Cost_K,Monthly_Savings_K,ROI_Payback_Months,Last_Contact_Days_Ago,Engagement_Score
1,Coca-Cola Bottling Company UNITED,"Major independent Coca-Cola bottler handling beverage production, sales, marketing & distribution","HQ: Birmingham, AL; operates across Southeast U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Food & Beverage,Microsoft Azure,"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",26,14,40,VP Cloud Platforms,+1 (914) 704-7912,+1 (205) 130-2535,contact@coca-colabottlingcom.com,www.coca-colabottlingcom.com,161,35.39,51.59,9.2,7.22,16.42,57124,2369,4964,479,132,1019,43618,9215,156,1754,462,2949.2,0,0,0.0,0,0,0.0,90,1368.3,0.1,179,7
2,"PepsiCo, Inc.",Leading U.S. food & beverage company with global brands; large U.S. footprint in manufacturing,"HQ: Purchase, NY; operates across Northeast U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Food & Beverage / CPG,Google Cloud Platform,"Oracle Cloud, SAP, Microsoft",Cloud FinOps,Managing legacy Oracle licenses while migrating to cloud; compliance and cost visibility gaps,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",21,0,21,Chief Technology Officer,+1 (914) 467-6635,+1 (513) 926-1711,contact@pepsicoinc.com,www.pepsicoinc.com,423,121.75,95.16,25.57,0.0,25.57,104230,2331,2901,693,205,1282,30203,23187,2329,0,0,0.0,0,0,0.0,0,0,0.0,61,2130.8,0.0,170,4
3,Halliburton Company,U.S. oilfield services & technology leader serving upstream energy operators,"HQ: Houston, TX; operates across South Central U.S.","Oilfield services, digital operations, subsurface software, enterprise applications",Energy / Oil & Gas Services,AWS (Amazon Web Services),"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,AWS Enterprise Agreement renewal; negotiating better rates based on commitment,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",28,13,41,VP Infrastructure,+1 (732) 266-7065,+1 (732) 314-5374,contact@halliburtoncompany.com,www.halliburtoncompany.com,409,176.28,134.81,49.36,17.53,66.89,49862,1796,2505,217,256,877,22691,10585,9175,0,0,0.0,649,400,14690.0,0,0,0.0,133,5574.2,0.0,15,4
4,Kennametal Inc.,U.S. manufacturer of tooling and industrial materials; operates smart factories,"HQ: Pittsburgh, PA; operates across Northeast U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Industrial Manufacturing,AWS (Amazon Web Services),"Microsoft 365, SAP HANA, Power Platform",Enterprise License Optimization (ELO),Multi-cloud cost optimization and license compliance across distributed systems,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,18,18,VP IT Operations,+1 (412) 771-9179,+1 (479) 758-8517,contact@kennametalinc.com,www.kennametalinc.com,123,28.22,30.67,0.0,5.52,5.52,146289,4078,4009,647,224,841,62493,9165,16746,0,0,0.0,1210,96,2351.7,0,0,0.0,243,460.0,0.5,13,2
5,Procter & Gamble,"Consumer goods corporation with global brands in beauty, healthcare, and household products","HQ: Cincinnati, OH; operates across Midwest U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Consumer Goods / CPG,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,AWS Enterprise Agreement renewal; negotiating better rates based on commitment,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",24,11,35,VP Infrastructure,+1 (513) 666-1188,+1 (914) 798-9797,contact@procter&gamble.com,www.procter&gamble.com,434,99.84,142.44,23.96,15.67,39.63,34242,986,1795,514,21,639,21403,3027,4208,0,0,0.0,417,495,8320.0,0,0,0.0,210,3302.5,0.1,77,9
6,Johnson & Johnson,Pharmaceutical and consumer healthcare company with medical devices division,"HQ: New Brunswick, NJ; operates across Northeast U.S.","Healthcare services, pharmaceutical R&D, medical devices, patient systems",Healthcare / Pharmaceuticals,Multi-cloud (AWS + GCP),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Cloud FinOps,"Data-center exit & application migration at scale - cost, performance, governance, and licensing alignment needs",Recent Oracle audit notice triggering compliance review and optimization initiative,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",23,0,23,CIO,+1 (732) 600-1319,+1 (914) 471-6038,contact@johnson&johnson.com,www.johnson&johnson.com,172,28.79,64.6,6.62,0.0,6.62,25645,578,4481,120,292,357,9207,5504,3943,0,0,0.0,1325,134,2399.2,371,300,2399.2,273,551.7,0.5,156,7
7,Walmart Inc.,Multinational retail corporation operating hypermarkets and grocery stores,"HQ: Bentonville, AR; operates across South Central U.S.","Retail operations, e-commerce, supply chain, point-of-sale systems, analytics",Retail / E-commerce,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),Managing legacy Oracle licenses while migrating to cloud; compliance and cost visibility gaps,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",0,18,18,VP Infrastructure,+1 (914) 353-4681,+1 (914) 446-1344,contact@walmartinc.com,www.walmartinc.com,351,110.98,111.51,0.0,20.07,20.07,6885,152,982,284,54,164,6760,776,195,0,0,0.0,1252,171,9248.3,0,0,0.0,121,1672.5,0.1,172,8
8,Ford Motor Company,Automotive manufacturer with global manufacturing and distribution,"HQ: Dearborn, MI; operates across Midwest U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Automotive / Manufacturing,AWS (Amazon Web Services),"Microsoft 365, SAP S/4HANA",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",18,17,35,VP Cloud Platforms,+1 (479) 462-7939,+1 (479) 578-1887,contact@fordmotorcompany.com,www.fordmotorcompany.com,394,136.34,129.72,24.54,22.05,46.59,20889,670,3279,161,147,492,8116,4493,3725,0,0,0.0,487,266,11361.7,0,0,0.0,96,3882.5,0.0,72,8
9,Delta Air Lines,Major U.S. airline with global operations and extensive IT infrastructure,"HQ: Atlanta, GA; operates across Southeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Airlines / Transportation,AWS (Amazon Web Services),"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,SAP HANA migration and scale-up on Azure,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",27,18,45,CIO,+1 (914) 871-4872,+1 (713) 516-8956,contact@deltaairlines.com,www.deltaairlines.com,296,63.38,82.94,17.11,14.93,32.04,20370,508,517,449,155,1031,9673,3565,2903,0,0,0.0,1696,451,5281.7,0,0,0.0,192,2670.0,0.1,170,8
10,Bank of America,Multinational investment bank and financial services company,"HQ: Charlotte, NC; operates across Southeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Financial Services / Banking,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",0,15,15,CIO,+1 (732) 158-1821,+1 (313) 614-9701,contact@bankofamerica.com,www.bankofamerica.com,130,21.72,39.2,0.0,5.88,5.88,53712,1184,1056,741,140,926,12856,15527,9383,0,0,0.0,704,346,1810.0,0,0,0.0,202,490.0,0.4,11,10
